GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
maven_testing_example,lexer,SemiColonToken,10,0,0,0,4,0,4,0,4,0
maven_testing_example,lexer,StringToken,10,0,0,0,4,0,4,0,4,0
maven_testing_example,lexer,PeriodToken,10,0,0,0,4,0,4,0,4,0
maven_testing_example,lexer,ThisToken,10,0,0,0,4,0,4,0,4,0
maven_testing_example,lexer,WhileToken,10,0,0,0,4,0,4,0,4,0
maven_testing_example,lexer,PlusToken,10,0,0,0,4,0,4,0,4,0
maven_testing_example,lexer,IntegerToken,10,0,0,0,4,0,4,0,4,0
maven_testing_example,lexer,VarToken,36,0,2,0,9,0,5,0,4,0
maven_testing_example,lexer,ExtendsToken,10,0,0,0,4,0,4,0,4,0
maven_testing_example,lexer,PrintToken,10,0,0,0,4,0,4,0,4,0
maven_testing_example,lexer,RighttSqrBrktToken,10,0,0,0,4,0,4,0,4,0
maven_testing_example,lexer,TimesToken,10,0,0,0,4,0,4,0,4,0
maven_testing_example,lexer,IfToken,10,0,0,0,4,0,4,0,4,0
maven_testing_example,lexer,LeftCurlyToken,10,0,0,0,4,0,4,0,4,0
maven_testing_example,lexer,NewToken,10,0,0,0,4,0,4,0,4,0
maven_testing_example,lexer,LeftParenToken,7,3,0,0,3,1,3,1,3,1
maven_testing_example,lexer,MinusToken,10,0,0,0,4,0,4,0,4,0
maven_testing_example,lexer,Tokenizer,299,274,32,36,58,50,27,11,0,4
maven_testing_example,lexer,ClassToken,10,0,0,0,4,0,4,0,4,0
maven_testing_example,lexer,CommaToken,10,0,0,0,4,0,4,0,4,0
maven_testing_example,lexer,RightSqrBrktToken,10,0,0,0,4,0,4,0,4,0
maven_testing_example,lexer,RightParenToken,7,3,0,0,3,1,3,1,3,1
maven_testing_example,lexer,ElseToken,10,0,0,0,4,0,4,0,4,0
maven_testing_example,lexer,FunctionToken,10,0,0,0,4,0,4,0,4,0
maven_testing_example,lexer,TrueToken,0,10,0,0,0,4,0,4,0,4
maven_testing_example,lexer,BooleanToken,10,0,0,0,4,0,4,0,4,0
maven_testing_example,lexer,FalseToken,7,3,0,0,3,1,3,1,3,1
maven_testing_example,lexer,LeftSqrBrktToken,10,0,0,0,4,0,4,0,4,0
maven_testing_example,lexer,RightCurlyToken,10,0,0,0,4,0,4,0,4,0
maven_testing_example,lexer,DivideToken,10,0,0,0,4,0,4,0,4,0
maven_testing_example,lexer,TokenizerException,3,0,0,0,1,0,1,0,1,0
maven_testing_example,lexer,EqualsToken,10,0,0,0,4,0,4,0,4,0
maven_testing_example,lexer,ReturnToken,10,0,0,0,4,0,4,0,4,0
maven_testing_example,lexer,BreakToken,10,0,0,0,4,0,4,0,4,0
